"organization","slug","dataset","resource","url","operations","columns","fact"
"INMUJERES","inmujeres","Estadísticas de mujeres","Escaños locales","http://busca.datos.gob.mx/#/conjuntos/estadisticas-de-mujeres","tabla","B,C","Hubo un aumento del 23.89% (de 494 a 612) en el número de escaños ocupados por mujeres entre el 2010 y el 2014"
"ISSSTE","issste","Número de pensiones vigentes y gasto ejercido","Tabla del número de pensiones vigentes y gasto ejercido por Delegación en forma trimestral, del régimen del artículo Décimo Transitorio","http://busca.datos.gob.mx/#/conjuntos/numero-de-pensiones-vigentes-y-gasto-ejercido","tabla","B,D,F,H","El estado con el mayor gasto en pensiones durante los primeros 3 semestres de 2015 es Estado de México con 6,223.2 millones de pesos."
"ISSSTE","issste","Numero de pensiones otorgadas","Tabla del número de pensiones otorgadas por Delegación en forma trimestral, del régimen del artículo décimo transitorio","http://busca.datos.gob.mx/#/conjuntos/numero-de-pensiones-otorgadas","tabla","A,B,C,D","El Distrito Federal es la entidad federativa que más pensiones de Décimo Transitorio ha otorgado en 2015, con un total de 11,227"
"ISSSTE","issste","Número de pensiones vigentes y gasto ejercido","Tabla del número de pensiones vigentes y gasto ejercido por Delegación en forma trimestral, del régimen del artículo Décimo Transitorio","http://busca.datos.gob.mx/#/conjuntos/numero-de-pensiones-vigentes-y-gasto-ejercido","tabla","B,D,F,H","El conjunto de estados con el mayor gasto en pensiones durante los primeros 3 semestres de 2015 está conformado por Chiapas, Guerrrero, Oaxaca, Campeche, Quintana Roo, Tabásco y Yucatán con 8,323.37 millones de pesos."
"ISSSTE","issste","Eventos culturales, sociales, deportivos y recreativos","Tabla de los eventos culturales, sociales, deportivos y recreativos que ofrece al ISSSTE mensualmente por Entidad Federativa","http://busca.datos.gob.mx/#/conjuntos/eventos-culturales-sociales-deportivos-y-recreativos","tabla","A,J","El número de Servicios de Fomento Deportivo otorgadaos a pensionados pasó de 223,089 en 2013 a 247,559 en 2014; es decir, tuvo un crecimiento del 10.97%."
"ISSSTE","issste","Número de Créditos otorgados anualmente por FOVISSSTE, a partir de 2007, según producto de crédito","Tabla en número créditos otorgados por FOVISSSTE, de 2007 al mes inmediato anterior a la fecha de publicación, según producto de crédito (9 diferentes productos crediticios: Tradicional, Pensionados, Subsidios, Conyugal Fovissste-Infonavit, Alia2+Plus, Respaldados, Fovissste en pesos, Fovissste-Infonavit individual y Respalda2M) por Entidad Federativa","http://busca.datos.gob.mx/#/conjuntos/numero-de-creditos-otorgados-anualmente-por-fovissste-a-partir-de-2007-segun-producto-de-credito","tabla","A,C-J","FOVISSSTE ha otorgado un total de 713,014 créditos (en sus 9 diferentes formas de productos crediticios) entre 2007 y 2015."
"ISSSTE","issste","Número de académicos contratados para el desarrollo de los programas educativos de la Escuela","Tabla con el número de académicos contratados para el desarrollo de los programas educativos de la Escuela, en forma semestral y de acuerdo a su profesión","http://busca.datos.gob.mx/#/conjuntos/numero-de-academicos-contratados-para-el-desarrollo-de-los-programas-educativos-de-la-escuela","tabla","A-G","Se contrataron un total de 335 nutriólogos entre 2013 y 2015 para para el desarrollo de los programas educativos de la Escuela."
"PGR","pgr","ATENCION CIUDADANA DGPDSC-CEDAC","Atención Ciudadana DGPDSC-CEDAC","http://busca.datos.gob.mx/#/conjuntos/atencion-ciudadana-dgpdsccedac","tabla","A,B","Durante el 2015, se han llevado a cabo 7,342 casos de atención ciudadana, brindada a las diferentes solicitudes por la DGPDSC a través del CEDAC (Psicológicas, Legales y Sociales). En Nuevo León es en el estado donde más casos se han registrado (1,045)."
"PGR","pgr","Estadística de detenidos","Base de datos","http://busca.datos.gob.mx/#/conjuntos/estadistica-de-detenidos","tabla","D,I","El estado con menor número de personas detenidas durante 2015 ha sido Yucatán, con un total de 69."
"PGR","pgr","CURSO DE CAPACITACIÓN EN MATERIA DE DERECHOS HUMANOS","Base de datos","http://busca.datos.gob.mx/#/conjuntos/curso-de-capacitacion-en-materia-de-derechos-humanos","tabla","A,C","En lo que va del 2015, se han impartido 85 cursos de capacitación en materia de derechos humanos por parte de PGR a través de la Dirección General de Promoción de la Cultura en Derechos Humanos."
